Macrotrends Data Download

Natural Gas Prices - Historical Chart

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.



ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.
-> MJSP: modified to REMOVE the inflation-adjusted price, i.e. RETAINING the nominal prices

date, value
2014-03-01,4.480
2014-04-01,4.790
2014-05-01,4.490
2014-06-01,4.390
2014-07-01,3.780
2014-08-01,4.040
2014-09-01,4.140
2014-10-01,3.820
2014-11-01,4.300
2014-12-01,3.140
2015-01-01,2.880
2015-02-01,2.790
2015-03-01,2.650
2015-04-01,2.560
2015-05-01,2.780
2015-06-01,2.800
2015-07-01,2.760
2015-08-01,2.700
2015-09-01,2.470
2015-10-01,1.980
2015-11-01,2.110
2015-12-01,2.280
2016-01-01,2.280
2016-02-01,1.620
2016-03-01,1.980
2016-04-01,1.890
2016-05-01,2.120
2016-06-01,2.940
2016-07-01,2.970
2016-08-01,2.950
2016-09-01,2.840
2016-10-01,2.850
2016-11-01,3.320
2016-12-01,3.710
2017-01-01,3.000
2017-02-01,2.540
2017-03-01,3.130
2017-04-01,3.200
2017-05-01,3.050
2017-06-01,2.980
2017-07-01,2.870
2017-08-01,2.920
2017-09-01,2.940
2017-10-01,2.840
2017-11-01,3.060
2017-12-01,3.690
2018-01-01,3.340
2018-02-01,2.660
2018-03-01,2.810
2018-04-01,2.750
2018-05-01,2.940
2018-06-01,2.960
2018-07-01,2.820
2018-08-01,2.980
2018-09-01,3.010
2018-10-01,3.310
2018-11-01,4.610
2018-12-01,3.250
2019-01-01,2.820
2019-02-01,2.890
2019-03-01,2.730
2019-04-01,2.590
2019-05-01,2.590
2019-06-01,2.420
2019-07-01,2.280
2019-08-01,2.330
2019-09-01,2.370
2019-10-01,2.730
2019-11-01,2.460
2019-12-01,2.090
2020-01-01,1.910
2020-02-01,1.790
2020-03-01,1.710
2020-04-01,1.630
2020-05-01,1.700
2020-06-01,1.760
2020-07-01,1.830
2020-08-01,2.300
2020-09-01,1.660
2020-10-01,3.030
2020-11-01,2.890
2020-12-01,2.360
2021-01-01,2.680
2021-02-01,2.660
2021-03-01,2.520
2021-04-01,2.860
2021-05-01,2.910
2021-06-01,3.790
2021-07-01,3.940
2021-08-01,4.330
2021-09-01,5.580
2021-10-01,4.810
